canonical_name
Python
JavaScript
TypeScript
Java
C++
C
C#
Go
Rust
Swift
Kotlin
Ruby
PHP
SQL
R
MATLAB
Scala
HTML
CSS
React
Next.js
Vue.js
Angular
Node.js
Django
Flask
FastAPI
Spring Boot
GraphQL
REST API design
Microservices architecture
Docker
Kubernetes
Terraform
AWS
Microsoft Azure
Google Cloud Platform
CI/CD
Git
Linux system administration
Bash scripting
Machine learning
Deep learning
Natural language processing
Computer vision
Data analysis
Data visualisation
Data engineering
ETL pipelines
Statistics
Pandas
NumPy
TensorFlow
PyTorch
Scikit-learn
Power BI
Tableau
Excel
Financial modelling
Valuation
Discounted cash flow analysis
Investment analysis
Portfolio management
Risk management
Accounting
Bookkeeping
Financial reporting
Budgeting
Corporate finance
Private equity
Venture capital
Equity research
Trading
Derivatives
Fixed income
Mergers and acquisitions
Due diligence
Business development
Sales
Business-to-business sales
Account management
Customer relationship management
Negotiation
Market research
Marketing strategy
Digital marketing
Search engine optimisation
Content marketing
Social media marketing
Email marketing
Brand management
Product marketing
Growth marketing
Product management
Product design
User experience design
User interface design
Wireframing
Prototyping
Figma
Adobe Photoshop
Adobe Illustrator
Graphic design
Video editing
Copywriting
Technical writing
Public speaking
Presentation skills
Project management
Agile methodology
Scrum
Kanban
Stakeholder management
Operations management
Supply chain management
Logistics
Procurement
Manufacturing engineering
Mechanical engineering
Electrical engineering
Civil engineering
Chemical engineering
Aerospace engineering
Structural analysis
CAD
SolidWorks
AutoCAD
Circuit design
Embedded systems
Robotics
Control systems
Thermodynamics
Fluid dynamics
Materials science
Biomedical engineering
Bioinformatics
Molecular biology
Genetics
Clinical research
Pharmacology
Public health
Epidemiology
Nursing
Chemistry
Physics
Mathematics
Applied mathematics
Actuarial science
Economics
Econometrics
Law
Contract law
Corporate law
Intellectual property law
Compliance
Regulatory affairs
Policy analysis
Consulting
Strategy consulting
Management consulting
Teaching
Curriculum development
Team leadership
People management
Recruiting
Human resources
Talent acquisition
Event management
Fundraising
Grant writing
Journalism
Editing
Translation
Foreign languages
Customer support
Technical support
Quality assurance
Software testing
Cybersecurity
Network security
Penetration testing
Cryptography
Blockchain
Smart contracts
Solidity
Game development
Unity
Unreal Engine
Augmented reality
Virtual reality
PostgreSQL
Redis
Apache Kafka
pytest
Celery
SQLite
Argo CD
GitHub Actions
Jenkins
Ruby on Rails
Stripe API
Salesforce
